#Date	Searchkey	searchvalue	newkey	newvalue	Objekts found	Changset-Nr	Errorlog
2010-09-27	shop	garden	shop	garden_centre 			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	gifts	shop	gift	2	5891179	
2010-09-27	shop	jeweller	shop	jewelry			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	jewellery	shop	jewelry			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	mobile	shop	mobile_phone			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	motorbike	shop	motorcycle			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	pets	shop	pet	1	5891184	
2010-09-27	shop	sex	shop	erotic	1	5891185	
2010-09-27	shop	shopping center	shop	mall			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	shopping_center	shop	mall			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-09-27	shop	souvenir	shop	gift			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:11:10	addr:city	Muenchen	addr:city	München	1	5938345	
2010-10-02 20:11:14	addr:city	münchen	addr:city	München	
		Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:15	addr:city	Munchen	addr:city	München			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:17	addr:city	munich	addr:city	München			aborting, by	
2010-10-02 20:13:22	addr:city	Frankfurt am Main - Germany	addr:city	Frankfurt			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:23	addr:city	Muenchen	addr:city	München	1	5938367	Nothig to change/changing didn't worked out.	
2010-10-02 20:13:25	addr:city	münchen	addr:city	München			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:25	addr:city	Munchen	addr:city	München			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:26	addr:city	munich	addr:city	München			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:26	addr:city	Munich	addr:city	München	1	5938368	
2010-10-02 20:13:30	addr:country	de	addr:country	DE			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:30	addr:country	deutschland	addr:country	DE			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:31	addr:country	Deutschland	addr:country	DE			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:32	addr:country	Germany	addr:country	DE			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:32	addr:interpolation	uneven	addr:interpolation	odd			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:33	amanety	.*	amenity	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:34	amanity	.*	amenity	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:34	Amenity	.*	amenity	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:35	amenity	barbecue	amenity	bbq			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:36	amenity	barbeque	amenity	bbq			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:37	amenity	church	amenity	place_of_worship	1	5938370	
2010-10-02 20:13:39	amenity	Church	amenity	place_of_worship			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:39	amenity	church hall	amenity	church_hall			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:40	amenity	grave yard	amenity	grave_yard			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:41	amenity	grave-yard	amenity	grave_yard			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:42	amenity	graveyard	amenity	grave_yard			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:44	amenity	hotel	tourism	hotel	2	5938371	
2010-10-02 20:13:47	amenity	Hotel	tourism	hotel			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:47	amenity	Kindergarten	amenity	kindergarten	2	5938372	
2010-10-02 20:13:50	amenity	market	amenity	marketplace			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:51	amenity	Mosque	amenity	place_of_worship			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:51	amenity	motel	tourism	motel			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:52	amenity	nursing home	amenity	nursing_home			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:53	amenity	place_of_worhship	amenity	place_of_worship			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:53	amenity	place _of_worship	amenity	place_of_worship			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:54	amenity	place_of _worship	amenity	place_of_worship			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:55	amenity	postbox	amenity	post_box			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:13:55	amenity	supermarket	shop	supermarket	10	5938375	
2010-10-02 20:14:02	bicycles	.*	bicycle	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:03	bicylce	.*	bicycle	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:03	bicyle	.*	bicycle	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:04	maxspeed	20mph	maxspeed	20 mph			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:04	maxspeed	30mph	maxspeed	30 mph			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:05	maxspeed	40mph	maxspeed	40 mph			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:06	maxspeed	50mph	maxspeed	50 mph			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:07	maxspeed	60mph	maxspeed	60 mph			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:07	max_speed	.*	maxspeed	*			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:14:08	name	Hypovereinsbank	name	HypoVereinsbank	58	5938378	
2010-10-02 20:15:00	name	HypovereinsBank	name	HypoVereinsbank	1	5938389	
2010-10-02 20:15:02	name	Hypo Vereinsbank	name	HypoVereinsbank	42	5938390	
2010-10-02 20:15:42	name	Hypo-Vereinsbank	name	HypoVereinsbank	11	5938396	
2010-10-02 20:15:56	operator	Hypovereinsbank	operator	HypoVereinsbank	30	5938399	
2010-10-02 20:16:25	operator	HypovereinsBank	operator	HypoVereinsbank	1	5938402	
2010-10-02 20:16:27	operator	Hypo Vereinsbank	operator	HypoVereinsbank	16	5938403	
2010-10-02 20:16:47	operator	Hypo-Vereinsbank	operator	HypoVereinsbank	7	5938406	
2010-10-02 20:17:02	shop	animals	shop	pet			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:05	shop	book	shop	books			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:11	shop	car_dealer	shop	car	1	5938408	
2010-10-02 20:17:17	shop	carpets	shop	carpet			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:25	shop	cars	shop	car	1	5938409	
2010-10-02 20:17:32	shop	cell_phones	shop	mobile_phone			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:40	shop	clothing	shop	clothes			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:47	shop	delicatessen	shop	deli	1	5938413	
2010-10-02 20:17:51	shop	flowers	shop	florist			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:51	shop	garden	shop	garden_centre 			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:52	shop	gifts	shop	gift	4	5938414	
2010-10-02 20:17:56	shop	jeweller	shop	jewelry			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:17:57	shop	jewellery	shop	jewelry			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:18:00	shop	mobile	shop	mobile_phone			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:18:01	shop	motorbike	shop	motorcycle			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:18:01	shop	pets	shop	pet			Suchausdruck nicht gefunden. Nichts weiter zu tun	
2010-10-02 20:18:02	shop	sex	shop	erotic			Suchausdruck nicht gefunden. Nichts weiter zu tun	
